'Time','SaO2','PR','EEG(sec)','ECG','EMG','EOG(L)','EOG(R)','EEG','AIRFLOW','THOR RES','ABDO RES'
'[23:30:50.144]',97.010,54.289,-0.980,-0.259,1.459,-1.961,5.882,0.980,3.514,1.129,0.314
'[23:30:50.148]',97.010,54.289,-0.980,-0.267,1.459,-1.961,5.882,0.980,3.514,1.129,0.314
'[23:30:50.152]',97.010,54.289,-4.902,-0.275,-0.486,-1.961,5.882,-2.941,3.514,1.129,0.314
'[23:30:50.156]',97.010,54.289,-4.902,-0.275,-0.486,-1.961,5.882,-2.941,3.514,1.129,0.314
'[23:30:50.160]',97.010,54.289,-8.824,-0.282,1.702,-5.882,-0.980,-2.941,3.514,1.129,0.314
'[23:30:50.164]',97.010,54.289,-8.824,-0.282,1.702,-5.882,-0.980,-2.941,3.514,1.129,0.314
'[23:30:50.168]',97.010,54.289,-5.882,-0.275,1.945,-5.882,-0.980,0.980,3.514,1.129,0.314
'[23:30:50.172]',97.010,54.289,-5.882,-0.275,1.945,-5.882,-0.980,0.980,3.514,1.129,0.314
'[23:30:50.176]',97.010,54.289,-6.863,-0.282,-1.216,-5.882,-0.980,2.941,3.514,1.129,0.314
'[23:30:50.180]',97.010,54.289,-6.863,-0.290,-1.216,-1.961,-0.980,2.941,3.514,1.129,0.314
'[23:30:50.184]',97.010,54.289,-0.980,-0.282,-2.431,-1.961,-0.980,0.980,3.514,1.129,0.314
'[23:30:50.188]',97.010,54.289,-0.980,-0.282,-2.431,-1.961,-0.980,0.980,3.514,1.129,0.314
'[23:30:50.192]',97.010,54.289,2.941,-0.282,-0.973,-1.961,-0.980,-0.980,3.514,1.129,0.314
'[23:30:50.196]',97.010,54.289,2.941,-0.282,-0.973,-1.961,-0.980,-0.980,3.514,1.129,0.314
'[23:30:50.200]',97.010,54.289,6.863,-0.282,-0.486,-1.961,0.980,1.961,1.976,1.004,0.251
'[23:30:50.204]',97.010,54.289,6.863,-0.275,-0.486,-1.961,0.980,1.961,1.976,1.004,0.251
'[23:30:50.208]',97.010,54.289,1.961,-0.275,0.973,-1.961,0.980,3.922,1.976,1.004,0.251
'[23:30:50.212]',97.010,54.289,1.961,-0.259,0.973,-1.961,0.980,3.922,1.976,1.004,0.251
'[23:30:50.216]',97.010,54.289,0.980,-0.196,0.729,-1.961,0.980,3.922,1.976,1.004,0.251
'[23:30:50.220]',97.010,54.289,0.980,-0.094,0.729,-3.922,-4.902,3.922,1.976,1.004,0.251
'[23:30:50.224]',97.010,54.289,-0.980,0.071,2.918,-3.922,-4.902,2.941,1.976,1.004,0.251
'[23:30:50.228]',97.010,54.289,-0.980,0.282,2.918,-3.922,-4.902,2.941,1.976,1.004,0.251
'[23:30:50.232]',97.010,54.289,0.980,0.525,-0.729,-3.922,-4.902,4.902,1.976,1.004,0.251
'[23:30:50.236]',97.010,54.289,0.980,0.737,-0.729,-3.922,-4.902,4.902,1.976,1.004,0.251
'[23:30:50.240]',97.010,54.289,1.961,0.863,-5.106,-1.961,-5.882,6.863,1.976,1.004,0.251
'[23:30:50.244]',97.010,54.289,1.961,0.847,-5.106,-1.961,-5.882,6.863,1.976,1.004,0.251
'[23:30:50.248]',97.010,54.289,8.824,0.667,-2.188,-1.961,-5.882,5.882,1.976,1.004,0.251
'[23:30:50.252]',97.010,54.289,8.824,0.298,-2.188,-1.961,-5.882,5.882,1.976,1.004,0.251
'[23:30:50.256]',97.010,54.289,14.706,-0.165,1.459,-1.961,-5.882,1.961,1.976,1.004,0.251
'[23:30:50.260]',97.010,54.289,14.706,-0.573,1.459,-0.000,3.922,1.961,1.976,1.004,0.251
'[23:30:50.264]',97.010,54.289,18.627,-0.800,1.459,-0.000,3.922,-0.980,1.976,1.004,0.251
'[23:30:50.268]',97.010,54.289,18.627,-0.831,1.459,-0.000,3.922,-0.980,1.976,1.004,0.251
'[23:30:50.272]',97.010,54.289,12.745,-0.729,-0.000,-0.000,3.922,-1.961,1.976,1.004,0.251
'[23:30:50.276]',97.010,54.289,12.745,-0.588,-0.000,-0.000,3.922,-1.961,1.976,1.004,0.251
'[23:30:50.280]',97.010,54.289,1.961,-0.463,2.918,-0.000,-0.980,-0.980,1.976,1.004,0.251
'[23:30:50.284]',97.010,54.289,1.961,-0.361,2.918,-0.000,-0.980,-0.980,1.976,1.004,0.251
'[23:30:50.288]',97.010,54.289,-3.922,-0.322,3.161,-0.000,-0.980,-1.961,1.976,1.004,0.251
'[23:30:50.292]',97.010,54.289,-3.922,-0.314,3.161,-0.000,-0.980,-1.961,1.976,1.004,0.251
'[23:30:50.296]',97.010,54.289,-9.804,-0.322,-0.000,-0.000,-0.980,-4.902,1.976,1.004,0.251
'[23:30:50.300]',97.010,54.289,-9.804,-0.314,-0.000,-3.922,-2.941,-4.902,0.376,0.816,0.125
'[23:30:50.304]',97.010,54.289,-12.745,-0.314,0.973,-3.922,-2.941,-11.765,0.376,0.816,0.125
'[23:30:50.308]',97.010,54.289,-12.745,-0.314,0.973,-3.922,-2.941,-11.765,0.376,0.816,0.125
'[23:30:50.312]',97.010,54.289,-18.627,-0.314,3.890,-3.922,-2.941,-15.686,0.376,0.816,0.125
'[23:30:50.316]',97.010,54.289,-18.627,-0.306,3.890,-3.922,-2.941,-15.686,0.376,0.816,0.125
'[23:30:50.320]',97.010,54.289,-18.627,-0.298,1.459,-5.882,-9.804,-16.667,0.376,0.816,0.125
'[23:30:50.324]',97.010,54.289,-18.627,-0.298,1.459,-5.882,-9.804,-16.667,0.376,0.816,0.125
'[23:30:50.328]',97.010,54.289,-18.627,-0.298,1.216,-5.882,-9.804,-15.686,0.376,0.816,0.125
'[23:30:50.332]',97.010,54.289,-18.627,-0.290,1.216,-5.882,-9.804,-15.686,0.376,0.816,0.125
'[23:30:50.336]',97.010,54.289,-11.765,-0.290,-0.243,-5.882,-9.804,-12.745,0.376,0.816,0.125
'[23:30:50.340]',97.010,54.289,-11.765,-0.290,-0.243,-5.882,-9.804,-12.745,0.376,0.816,0.125
'[23:30:50.344]',97.010,54.289,-9.804,-0.290,0.243,-5.882,-9.804,-13.725,0.376,0.816,0.125
'[23:30:50.348]',97.010,54.289,-9.804,-0.290,0.243,-5.882,-9.804,-13.725,0.376,0.816,0.125
'[23:30:50.352]',97.010,54.289,-1.961,-0.282,-0.000,-5.882,-9.804,-16.667,0.376,0.816,0.125
'[23:30:50.356]',97.010,54.289,-1.961,-0.282,-0.000,-5.882,-9.804,-16.667,0.376,0.816,0.125
'[23:30:50.360]',97.010,54.289,3.922,-0.290,-0.486,-8.824,-3.922,-15.686,0.376,0.816,0.125
'[23:30:50.364]',97.010,54.289,3.922,-0.282,-0.486,-8.824,-3.922,-15.686,0.376,0.816,0.125
'[23:30:50.368]',97.010,54.289,8.824,-0.275,-0.243,-8.824,-3.922,-8.824,0.376,0.816,0.125
'[23:30:50.372]',97.010,54.289,8.824,-0.275,-0.243,-8.824,-3.922,-8.824,0.376,0.816,0.125
'[23:30:50.376]',97.010,54.289,4.902,-0.275,-1.216,-8.824,-3.922,-2.941,0.376,0.816,0.125
'[23:30:50.380]',97.010,54.289,4.902,-0.282,-1.216,-4.902,-4.902,-2.941,0.376,0.816,0.125
'[23:30:50.384]',97.010,54.289,6.863,-0.275,-0.243,-4.902,-4.902,-1.961,0.376,0.816,0.125
'[23:30:50.388]',97.010,54.289,6.863,-0.275,-0.243,-4.902,-4.902,-1.961,0.376,0.816,0.125
'[23:30:50.392]',97.010,54.289,5.882,-0.275,-1.216,-4.902,-4.902,-0.980,0.376,0.816,0.125
'[23:30:50.396]',97.010,54.289,5.882,-0.275,-1.216,-4.902,-4.902,-0.980,0.376,0.816,0.125
'[23:30:50.400]',97.010,54.289,6.863,-0.267,0.973,0.980,-4.902,0.980,-0.941,0.659,0.031
'[23:30:50.404]',97.010,54.289,6.863,-0.267,0.973,0.980,-4.902,0.980,-0.941,0.659,0.031
'[23:30:50.408]',97.010,54.289,-2.941,-0.267,2.188,0.980,-4.902,3.922,-0.941,0.659,0.031
'[23:30:50.412]',97.010,54.289,-2.941,-0.267,2.188,0.980,-4.902,3.922,-0.941,0.659,0.031
'[23:30:50.416]',97.010,54.289,-11.765,-0.259,-0.973,0.980,-4.902,3.922,-0.941,0.659,0.031
'[23:30:50.420]',97.010,54.289,-11.765,-0.259,-0.973,-4.902,-10.784,3.922,-0.941,0.659,0.031
'[23:30:50.424]',97.010,54.289,-20.588,-0.259,-1.216,-4.902,-10.784,-0.000,-0.941,0.659,0.031
'[23:30:50.428]',97.010,54.289,-20.588,-0.259,-1.216,-4.902,-10.784,-0.000,-0.941,0.659,0.031
'[23:30:50.432]',97.010,54.289,-25.490,-0.259,-3.404,-4.902,-10.784,-9.804,-0.941,0.659,0.031
'[23:30:50.436]',97.010,54.289,-25.490,-0.251,-3.404,-4.902,-10.784,-9.804,-0.941,0.659,0.031
'[23:30:50.440]',97.010,54.289,-31.373,-0.251,-4.620,-10.784,-14.706,-20.588,-0.941,0.659,0.031
'[23:30:50.444]',97.010,54.289,-31.373,-0.251,-4.620,-10.784,-14.706,-20.588,-0.941,0.659,0.031
'[23:30:50.448]',97.010,54.289,-39.216,-0.251,3.161,-10.784,-14.706,-28.431,-0.941,0.659,0.031
'[23:30:50.452]',97.010,54.289,-39.216,-0.243,3.161,-10.784,-14.706,-28.431,-0.941,0.659,0.031
'[23:30:50.456]',97.010,54.289,-46.078,-0.243,0.243,-10.784,-14.706,-37.255,-0.941,0.659,0.031
'[23:30:50.460]',97.010,54.289,-46.078,-0.243,0.243,-13.725,-19.608,-37.255,-0.941,0.659,0.031
'[23:30:50.464]',97.010,54.289,-51.961,-0.243,-2.918,-13.725,-19.608,-42.157,-0.941,0.659,0.031
'[23:30:50.468]',97.010,54.289,-51.961,-0.235,-2.918,-13.725,-19.608,-42.157,-0.941,0.659,0.031
'[23:30:50.472]',97.010,54.289,-56.863,-0.235,-0.729,-13.725,-19.608,-46.078,-0.941,0.659,0.031
'[23:30:50.476]',97.010,54.289,-56.863,-0.235,-0.729,-13.725,-19.608,-46.078,-0.941,0.659,0.031
'[23:30:50.480]',97.010,54.289,-58.824,-0.227,0.243,-13.725,-17.647,-46.078,-0.941,0.659,0.031
'[23:30:50.484]',97.010,54.289,-58.824,-0.220,0.243,-13.725,-17.647,-46.078,-0.941,0.659,0.031
'[23:30:50.488]',97.010,54.289,-55.882,-0.212,-0.486,-13.725,-17.647,-46.078,-0.941,0.659,0.031
'[23:30:50.492]',97.010,54.289,-55.882,-0.220,-0.486,-13.725,-17.647,-46.078,-0.941,0.659,0.031
'[23:30:50.496]',97.010,54.289,-51.961,-0.220,-0.729,-13.725,-17.647,-49.020,-0.941,0.659,0.031
'[23:30:50.500]',97.010,54.289,-51.961,-0.212,-0.729,-20.588,-17.647,-49.020,-1.725,0.502,-0.000
'[23:30:50.504]',97.010,54.289,-42.157,-0.204,-2.675,-20.588,-17.647,-53.922,-1.725,0.502,-0.000
'[23:30:50.508]',97.010,54.289,-42.157,-0.204,-2.675,-20.588,-17.647,-53.922,-1.725,0.502,-0.000
'[23:30:50.512]',97.010,54.289,-30.392,-0.204,0.486,-20.588,-17.647,-55.882,-1.725,0.502,-0.000
'[23:30:50.516]',97.010,54.289,-30.392,-0.196,0.486,-20.588,-17.647,-55.882,-1.725,0.502,-0.000
'[23:30:50.520]',97.010,54.289,-18.627,-0.196,3.161,-16.667,-11.765,-49.020,-1.725,0.502,-0.000
'[23:30:50.524]',97.010,54.289,-18.627,-0.196,3.161,-16.667,-11.765,-49.020,-1.725,0.502,-0.000
'[23:30:50.528]',97.010,54.289,-14.706,-0.204,-3.161,-16.667,-11.765,-33.333,-1.725,0.502,-0.000
'[23:30:50.532]',97.010,54.289,-14.706,-0.196,-3.161,-16.667,-11.765,-33.333,-1.725,0.502,-0.000
'[23:30:50.536]',97.010,54.289,-12.745,-0.188,-0.973,-16.667,-11.765,-20.588,-1.725,0.502,-0.000
'[23:30:50.540]',97.010,54.289,-12.745,-0.196,-0.973,-8.824,-9.804,-20.588,-1.725,0.502,-0.000
'[23:30:50.544]',97.010,54.289,-17.647,-0.196,-0.729,-8.824,-9.804,-13.725,-1.725,0.502,-0.000
'[23:30:50.548]',97.010,54.289,-17.647,-0.196,-0.729,-8.824,-9.804,-13.725,-1.725,0.502,-0.000
'[23:30:50.552]',97.010,54.289,-19.608,-0.196,-0.729,-8.824,-9.804,-9.804,-1.725,0.502,-0.000
'[23:30:50.556]',97.010,54.289,-19.608,-0.204,-0.729,-8.824,-9.804,-9.804,-1.725,0.502,-0.000
'[23:30:50.560]',97.010,54.289,-16.667,-0.212,-2.675,-9.804,-6.863,-6.863,-1.725,0.502,-0.000
'[23:30:50.564]',97.010,54.289,-16.667,-0.204,-2.675,-9.804,-6.863,-6.863,-1.725,0.502,-0.000
'[23:30:50.568]',97.010,54.289,-1.961,-0.212,-0.243,-9.804,-6.863,-4.902,-1.725,0.502,-0.000
'[23:30:50.572]',97.010,54.289,-1.961,-0.212,-0.243,-9.804,-6.863,-4.902,-1.725,0.502,-0.000
'[23:30:50.576]',97.010,54.289,7.843,-0.220,2.918,-9.804,-6.863,1.961,-1.725,0.502,-0.000
'[23:30:50.580]',97.010,54.289,7.843,-0.220,2.918,-3.922,1.961,1.961,-1.725,0.502,-0.000
'[23:30:50.584]',97.010,54.289,20.588,-0.212,3.161,-3.922,1.961,12.745,-1.725,0.502,-0.000
'[23:30:50.588]',97.010,54.289,20.588,-0.212,3.161,-3.922,1.961,12.745,-1.725,0.502,-0.000
'[23:30:50.592]',97.010,54.289,24.510,-0.220,2.918,-3.922,1.961,23.529,-1.725,0.502,-0.000
'[23:30:50.596]',97.010,54.289,24.510,-0.227,2.918,-3.922,1.961,23.529,-1.725,0.502,-0.000
'[23:30:50.600]',97.010,54.289,21.569,-0.227,-1.216,7.843,10.784,27.451,-2.165,0.345,-0.063
'[23:30:50.604]',97.010,54.289,21.569,-0.227,-1.216,7.843,10.784,27.451,-2.165,0.345,-0.063
'[23:30:50.608]',97.010,54.289,2.941,-0.235,-0.973,7.843,10.784,16.667,-2.165,0.345,-0.063
'[23:30:50.612]',97.010,54.289,2.941,-0.243,-0.973,7.843,10.784,16.667,-2.165,0.345,-0.063
'[23:30:50.616]',97.010,54.289,-11.765,-0.243,-0.486,7.843,10.784,-0.000,-2.165,0.345,-0.063
'[23:30:50.620]',97.010,54.289,-11.765,-0.243,-0.486,1.961,2.941,-0.000,-2.165,0.345,-0.063
'[23:30:50.624]',97.010,54.289,-20.588,-0.251,-0.973,1.961,2.941,-12.745,-2.165,0.345,-0.063
'[23:30:50.628]',97.010,54.289,-20.588,-0.259,-0.973,1.961,2.941,-12.745,-2.165,0.345,-0.063
'[23:30:50.632]',97.010,54.289,-15.686,-0.259,0.973,1.961,2.941,-14.706,-2.165,0.345,-0.063
'[23:30:50.636]',97.010,54.289,-15.686,-0.259,0.973,1.961,2.941,-14.706,-2.165,0.345,-0.063
'[23:30:50.640]',97.010,54.289,-4.902,-0.267,-0.973,-8.824,-5.882,-9.804,-2.165,0.345,-0.063
'[23:30:50.644]',97.010,54.289,-4.902,-0.275,-0.973,-8.824,-5.882,-9.804,-2.165,0.345,-0.063
'[23:30:50.648]',97.010,54.289,1.961,-0.267,1.459,-8.824,-5.882,-3.922,-2.165,0.345,-0.063
'[23:30:50.652]',97.010,54.289,1.961,-0.267,1.459,-8.824,-5.882,-3.922,-2.165,0.345,-0.063
'[23:30:50.656]',97.010,54.289,5.882,-0.267,-0.973,-8.824,-5.882,-0.980,-2.165,0.345,-0.063
'[23:30:50.660]',97.010,54.289,5.882,-0.275,-0.973,-0.000,0.980,-0.980,-2.165,0.345,-0.063
'[23:30:50.664]',97.010,54.289,14.706,-0.275,-1.945,-0.000,0.980,5.882,-2.165,0.345,-0.063
'[23:30:50.668]',97.010,54.289,14.706,-0.275,-1.945,-0.000,0.980,5.882,-2.165,0.345,-0.063
'[23:30:50.672]',97.010,54.289,23.529,-0.275,-0.000,-0.000,0.980,14.706,-2.165,0.345,-0.063
'[23:30:50.676]',97.010,54.289,23.529,-0.282,-0.000,-0.000,0.980,14.706,-2.165,0.345,-0.063
'[23:30:50.680]',97.010,54.289,21.569,-0.282,-1.216,0.980,4.902,20.588,-2.165,0.345,-0.063
'[23:30:50.684]',97.010,54.289,21.569,-0.275,-1.216,0.980,4.902,20.588,-2.165,0.345,-0.063
'[23:30:50.688]',97.010,54.289,14.706,-0.275,0.729,0.980,4.902,14.706,-2.165,0.345,-0.063
'[23:30:50.692]',97.010,54.289,14.706,-0.275,0.729,0.980,4.902,14.706,-2.165,0.345,-0.063
'[23:30:50.696]',97.010,54.289,10.784,-0.275,-0.486,0.980,4.902,0.980,-2.165,0.345,-0.063
'[23:30:50.700]',97.010,54.289,10.784,-0.275,-0.486,-7.843,-3.922,0.980,-2.353,0.282,-0.063
'[23:30:50.704]',97.010,54.289,15.686,-0.275,-0.729,-7.843,-3.922,-7.843,-2.353,0.282,-0.063
'[23:30:50.708]',97.010,54.289,15.686,-0.267,-0.729,-7.843,-3.922,-7.843,-2.353,0.282,-0.063
'[23:30:50.712]',97.010,54.289,17.647,-0.275,1.216,-7.843,-3.922,-8.824,-2.353,0.282,-0.063
'[23:30:50.716]',97.010,54.289,17.647,-0.267,1.216,-7.843,-3.922,-8.824,-2.353,0.282,-0.063
'[23:30:50.720]',97.010,54.289,21.569,-0.267,-1.459,-3.922,-2.941,-3.922,-2.353,0.282,-0.063
'[23:30:50.724]',97.010,54.289,21.569,-0.267,-1.459,-3.922,-2.941,-3.922,-2.353,0.282,-0.063
'[23:30:50.728]',97.010,54.289,21.569,-0.275,-1.702,-3.922,-2.941,0.980,-2.353,0.282,-0.063
'[23:30:50.732]',97.010,54.289,21.569,-0.267,-1.702,-3.922,-2.941,0.980,-2.353,0.282,-0.063
'[23:30:50.736]',97.010,54.289,24.510,-0.259,1.216,-3.922,-2.941,1.961,-2.353,0.282,-0.063
'[23:30:50.740]',97.010,54.289,24.510,-0.259,1.216,-1.961,5.882,1.961,-2.353,0.282,-0.063
'[23:30:50.744]',97.010,54.289,18.627,-0.267,0.486,-1.961,5.882,-0.000,-2.353,0.282,-0.063
'[23:30:50.748]',97.010,54.289,18.627,-0.259,0.486,-1.961,5.882,-0.000,-2.353,0.282,-0.063
'[23:30:50.752]',97.010,54.289,18.627,-0.251,-3.404,-1.961,5.882,-2.941,-2.353,0.282,-0.063
'[23:30:50.756]',97.010,54.289,18.627,-0.259,-3.404,-1.961,5.882,-2.941,-2.353,0.282,-0.063
'[23:30:50.760]',97.010,54.289,19.608,-0.259,2.675,5.882,6.863,1.961,-2.353,0.282,-0.063
'[23:30:50.764]',97.010,54.289,19.608,-0.259,2.675,5.882,6.863,1.961,-2.353,0.282,-0.063
'[23:30:50.768]',97.010,54.289,26.471,-0.251,0.973,5.882,6.863,11.765,-2.353,0.282,-0.063
'[23:30:50.772]',97.010,54.289,26.471,-0.251,0.973,5.882,6.863,11.765,-2.353,0.282,-0.063
'[23:30:50.776]',97.010,54.289,22.549,-0.251,-0.729,5.882,6.863,19.608,-2.353,0.282,-0.063
'[23:30:50.780]',97.010,54.289,22.549,-0.251,-0.729,7.843,3.922,19.608,-2.353,0.282,-0.063
'[23:30:50.784]',97.010,54.289,21.569,-0.243,-2.918,7.843,3.922,21.569,-2.353,0.282,-0.063
'[23:30:50.788]',97.010,54.289,21.569,-0.243,-2.918,7.843,3.922,21.569,-2.353,0.282,-0.063
'[23:30:50.792]',97.010,54.289,14.706,-0.251,0.486,7.843,3.922,19.608,-2.353,0.282,-0.063
'[23:30:50.796]',97.010,54.289,14.706,-0.251,0.486,7.843,3.922,19.608,-2.353,0.282,-0.063
'[23:30:50.800]',97.010,54.289,11.765,-0.235,1.216,3.922,1.961,14.706,-2.478,0.251,-0.094
'[23:30:50.804]',97.010,54.289,11.765,-0.243,1.216,3.922,1.961,14.706,-2.478,0.251,-0.094
'[23:30:50.808]',97.010,54.289,2.941,-0.243,-2.188,3.922,1.961,10.784,-2.478,0.251,-0.094
'[23:30:50.812]',97.010,54.289,2.941,-0.243,-2.188,3.922,1.961,10.784,-2.478,0.251,-0.094
'[23:30:50.816]',97.010,54.289,-1.961,-0.243,-0.973,3.922,1.961,5.882,-2.478,0.251,-0.094
'[23:30:50.820]',97.010,54.289,-1.961,-0.235,-0.973,-3.922,-5.882,5.882,-2.478,0.251,-0.094
'[23:30:50.824]',97.010,54.289,-7.843,-0.235,0.973,-3.922,-5.882,-0.000,-2.478,0.251,-0.094
'[23:30:50.828]',97.010,54.289,-7.843,-0.243,0.973,-3.922,-5.882,-0.000,-2.478,0.251,-0.094
'[23:30:50.832]',97.010,54.289,-11.765,-0.243,1.945,-3.922,-5.882,-10.784,-2.478,0.251,-0.094
'[23:30:50.836]',97.010,54.289,-11.765,-0.235,1.945,-3.922,-5.882,-10.784,-2.478,0.251,-0.094
'[23:30:50.840]',97.010,54.289,-18.627,-0.243,-1.945,-5.882,-6.863,-20.588,-2.478,0.251,-0.094
'[23:30:50.844]',97.010,54.289,-18.627,-0.243,-1.945,-5.882,-6.863,-20.588,-2.478,0.251,-0.094
'[23:30:50.848]',97.010,54.289,-18.627,-0.243,-0.486,-5.882,-6.863,-25.490,-2.478,0.251,-0.094
'[23:30:50.852]',97.010,54.289,-18.627,-0.235,-0.486,-5.882,-6.863,-25.490,-2.478,0.251,-0.094
'[23:30:50.856]',97.010,54.289,-13.725,-0.243,-1.945,-5.882,-6.863,-24.510,-2.478,0.251,-0.094
'[23:30:50.860]',97.010,54.289,-13.725,-0.243,-1.945,-0.980,-3.922,-24.510,-2.478,0.251,-0.094
'[23:30:50.864]',97.010,54.289,-11.765,-0.251,-0.729,-0.980,-3.922,-22.549,-2.478,0.251,-0.094
'[23:30:50.868]',97.010,54.289,-11.765,-0.243,-0.729,-0.980,-3.922,-22.549,-2.478,0.251,-0.094
'[23:30:50.872]',97.010,54.289,-13.725,-0.243,1.945,-0.980,-3.922,-21.569,-2.478,0.251,-0.094
'[23:30:50.876]',97.010,54.289,-13.725,-0.243,1.945,-0.980,-3.922,-21.569,-2.478,0.251,-0.094
'[23:30:50.880]',97.010,54.289,-15.686,-0.251,-0.486,-5.882,-4.902,-23.529,-2.478,0.251,-0.094
'[23:30:50.884]',97.010,54.289,-15.686,-0.243,-0.486,-5.882,-4.902,-23.529,-2.478,0.251,-0.094
'[23:30:50.888]',97.010,54.289,-17.647,-0.243,-0.000,-5.882,-4.902,-25.490,-2.478,0.251,-0.094
'[23:30:50.892]',97.010,54.289,-17.647,-0.251,-0.000,-5.882,-4.902,-25.490,-2.478,0.251,-0.094
'[23:30:50.896]',97.010,54.289,-23.529,-0.251,2.918,-5.882,-4.902,-27.451,-2.478,0.251,-0.094
'[23:30:50.900]',97.010,54.289,-23.529,-0.243,2.918,-5.882,-0.980,-27.451,-2.510,0.220,-0.094
'[23:30:50.904]',97.010,54.289,-20.588,-0.251,-0.973,-5.882,-0.980,-30.392,-2.510,0.220,-0.094
'[23:30:50.908]',97.010,54.289,-20.588,-0.251,-0.973,-5.882,-0.980,-30.392,-2.510,0.220,-0.094
'[23:30:50.912]',97.010,54.289,-14.706,-0.251,-2.918,-5.882,-0.980,-28.431,-2.510,0.220,-0.094
